Geneid	sample_01_mapped.bam	sample_02_mapped.bam	sample_03_mapped.bam	sample_04_mapped.bam	sample_05_mapped.bam	sample_06_mapped.bam	sample_07_mapped.bam	sample_08_mapped.bam	sample_09_mapped.bam	sample_10_mapped.bam	sample_11_mapped.bam	sample_12_mapped.bam	sample_13_mapped.bam	sample_14_mapped.bam
Gm22463	88	99	149	52	84	59	79	57	48	46	169	114	17	22
Gm23358	0	2	0	2	1	1	0	1	0	1	0	1	0	0
Gm24276	75	99	204	93	107	69	132	65	102	77	134	132	31	43
mmu-mir-6341	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC121538.1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Gm22616	75	83	146	41	77	44	74	49	41	39	153	106	19	17
Gm25568	996	1424	1442	461	2660	1877	2744	1708	1397	1326	3506	3470	515	461
Mir206	6096	12218	2546	648	16915	13654	15762	32912	9342	14703	5691	2252	1550	2402
Mir133b	8061	9068	2536	805	16360	9050	13987	34552	6942	12161	5365	1840	1367	2428
Mir30a	76207	91370	44535	9805	154742	107034	119741	198381	60169	115598	40045	16606	18389	30915
Mir30c-2	14746	14668	9203	1962	46393	22818	19005	30317	8444	19033	8624	2218	3882	6584
Gm22679	51	77	54	15	130	65	148	92	90	66	138	184	27	25
Gm23785	537	775	814	268	1303	937	1426	721	714	581	2012	1969	273	218
mmu-mir-6342	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm23771	0	3	1	1	0	1	0	0	0	0	0	0	0	0
AC132241.1	22	17	16	4	9	4	7	2	5	3	14	11	4	1
Mir5103	6	7	1	0	9	4	3	4	9	2	3	1	2	3
mmu-mir-6897	0	1	0	0	0	1	1	0	1	2	1	1	1	0
mmu-mir-6898	1	0	1	0	1	3	0	0	0	0	0	2	0	0
Gm24133	16	8	5	0	9	11	26	23	6	4	1	2	1	2
mmu-mir-6349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24001	0	0	1	1	0	0	2	1	2	1	0	1	0	0
Gm24180	2	1	1	1	0	0	0	1	0	0	0	1	0	0
mmu-mir-6350	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Gm22419	88	110	114	71	79	62	58	37	32	35	140	89	15	27
Gm22693	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Gm25736	70	84	96	27	66	46	52	37	35	35	101	87	16	13
Gm25240	994	1458	1734	469	1113	779	897	549	640	530	1945	1665	328	299
mmu-mir-7681	2	0	1	0	0	0	0	0	0	0	1	0	0	0
Gm24053	3	9	4	1	3	3	3	1	1	2	6	10	0	1
Gm23943	60	81	107	59	64	45	52	30	22	23	116	82	7	22
Gm23762	5	9	6	0	3	6	4	1	4	3	7	9	2	1
Gm23611	1100	1731	2060	602	1297	900	946	591	724	640	2303	1989	334	374
Gm24513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-6899	6	12	4	1	7	8	5	7	5	6	7	1	0	5
Gm25748	1	1	1	0	0	0	1	0	1	1	1	1	0	0
Gm22548	81	87	66	5	65	60	55	32	39	35	101	95	14	28
Gm23189	87	104	147	55	91	63	73	50	52	47	168	112	23	26
mmu-mir-6351	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mir1928	399	378	112	19	50	52	605	191	263	154	21	34	56	68
Mir26b	83637	86762	33374	8558	176178	125155	134264	227344	69407	129488	62987	20281	19730	32312
Gm25035	184	319	228	31	261	202	161	112	151	129	457	438	57	73
Mir375	502	449	95	16	1250	385	887	1437	341	470	217	61	64	89
AC166150.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-6343	0	0	0	0	0	0	2	0	0	0	0	0	0	0
mmu-mir-6352	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC166333.1	480	712	723	221	1166	833	1277	676	680	553	1720	1735	249	195
mmu-mir-6344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22112	88	112	114	67	81	64	59	38	30	35	138	93	13	28
Gm22396	1	0	1	0	0	0	0	0	1	0	0	1	0	0
Gm25754	70	91	84	49	59	49	36	34	19	28	111	75	8	20
mmu-mir-6353	0	0	1	0	0	0	0	1	0	1	0	0	0	0
Mir5126	8	27	9	1	11	17	16	7	18	17	41	79	4	1
AC167036.1	35	40	99	27	35	25	39	9	19	24	52	63	9	17
mmu-mir-8096	0	0	0	0	0	1	1	0	0	2	0	0	0	0
Gm25472	591	860	559	83	851	502	593	399	476	394	856	810	152	207
Gm22955	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25198	1	1	1	1	0	1	0	0	0	1	0	1	0	0
mmu-mir-6900	17	21	3	2	19	10	10	19	12	19	7	4	4	3
Mir149	1052	1131	298	94	1211	1009	755	1002	611	779	450	224	247	379
mmu-mir-6901	2	3	0	0	6	12	3	8	1	6	6	0	0	1
mmu-mir-6345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24586	781	1220	1261	385	2002	1411	2207	1146	1121	945	2982	3036	429	325
Gm22917	1	2	1	1	0	1	0	0	0	0	0	1	0	0
Gm26134	0	1	1	1	0	1	0	0	0	0	0	0	0	0
Gm25537	0	2	1	0	1	1	0	0	0	0	0	1	0	0
Gm25003	453	630	611	194	1018	741	1205	597	566	468	1609	1658	231	173
Gm22426	14	14	29	16	11	12	5	12	15	8	17	14	5	3
mmu-mir-3473f	210	246	285	60	204	128	167	120	142	88	285	234	54	72
Gm23393	81	113	166	54	123	65	103	58	47	55	142	82	30	27
AC112986.1	3	3	1	2	0	1	2	2	1	3	1	1	0	1
mmu-mir-6346	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Gm22610	281	381	347	108	631	449	725	363	359	280	984	1029	142	112
Gm24397	261	370	341	97	628	447	718	363	371	283	924	997	137	101
Mir128-1	2306	3585	992	294	3748	3506	1743	3538	1377	2560	2215	429	578	1096
Gm24273	1	1	0	0	0	0	1	0	1	1	2	2	0	0
Mir135b	77	79	49	9	18	32	176	34	46	20	30	19	12	22
mmu-mir-6903	1	0	3	0	2	1	1	5	0	1	0	0	0	1
Gm22232	686	990	1082	361	1654	1194	1810	898	899	729	2592	2523	342	285
Gm23720	0	0	1	0	2	1	1	1	0	1	2	0	0	1
Gm22132	52	59	100	33	62	45	49	37	40	28	107	84	11	13
Mir181a-1	17201	17320	5497	1398	56195	22246	28572	40776	10853	20948	10715	2622	2759	5504
Mir181b-1	5350	5830	2729	769	21833	9263	10422	15452	5128	9127	4433	1274	1266	2291
Gm25708	81	96	139	47	75	48	69	50	42	41	157	109	16	20
mmu-mir-8114	1	2	7	4	40	31	24	37	18	27	11	17	0	0
Gm22569	1062	1679	1792	503	1215	819	908	551	683	576	2165	1899	319	334
Mir488	1	3	1	0	3	1	2	1	1	0	2	1	1	0
Gm26472	466	674	585	169	1128	811	1267	689	667	540	1530	1662	238	177
Mir1927	3	3	3	0	3	3	0	1	3	5	2	3	4	2
Mir199a-2	70242	69739	37853	9933	203432	169741	145850	240710	99538	191429	40883	21034	21074	33868
Mir214	1076	1266	924	233	4543	4457	2623	3740	2843	4591	779	925	534	977
AC132867.1	0	2	7	0	1	0	3	3	2	2	4	3	0	0
