"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"836","mmu-mir-133c",50.0134523133252,91.6228912941292,8.40401333252117,0.0917239481729787,-3.44655773403847,1.02917688927917e-05,0.00997907573262035
"1041","Mir1957",165.059556828525,285.577842994689,44.5412706623622,0.155968930205803,-2.68066942927625,1.26237517174198e-05,0.00997907573262035
"32","Mir1928",134.646216689606,227.272366716606,42.0200666626059,0.184888586631397,-2.43527192649196,8.6878736271281e-05,0.0457850940149651
"1154","Gm26233",8.32935375401175,16.6587075080235,0,0,-Inf,0.000620791058312428,0.245367665797987
"1017","Mir32",510.217696663005,796.048237347694,224.387155978315,0.281876330416782,-1.82686575718484,0.000983894996712294,0.311107597960427
"208","Mir144",419.739452743214,652.069408171206,187.409497315222,0.287407283590916,-1.79883147127115,0.00123276419819817,0.324833366225217
"642","Gm22709",14.3495864704681,26.1779689411798,2.52120399975635,0.0963101455816276,-3.37616840614707,0.00205541453310998,0.449978636291496
"1544","Gm24835",9.34450826021008,17.848615187168,0.840401333252117,0.0470849600621291,-4.40858988383945,0.00227693174594053,0.449978636291496
"209","Mir451",1917.54455394539,2922.41325997898,912.675847911799,0.312302117024464,-1.67898574579675,0.002673838426492,0.469704283587094
"1446","Mir190",76.6529169681615,121.370583272743,31.9352506635805,0.26312183564131,-1.92619711675884,0.00337389239248976,0.533412387252631
"1513","Mir542",409.212967319411,603.28319332628,215.142741312542,0.356619815855179,-1.48754122523427,0.0070545850127913,1
"1162","Mir96",3026.31260787248,4440.73545856741,1611.88975717756,0.362978108517538,-1.46204555406456,0.00988545396012519,1
"306","Mir136",2669.95440393834,3911.22654134809,1428.6822665286,0.36527729893042,-1.45293599828618,0.00988924856429089,1
"509","Mir33",215.475706308101,314.135627294157,116.815785322044,0.371864173217951,-1.42715233486588,0.0124226638025847,1
"672","Mir122a",32.5969335661106,13.0889844705899,52.1048826616313,3.98081935070728,1.99306540351865,0.0132965920145884,1
"1302","Mir326",389.895632427939,560.446516877076,219.344747978803,0.391374986503684,-1.35337654127383,0.0140690950980267,1
"1071","Mir34a",1384.85042703528,1984.76600881309,784.934845257477,0.395479790449897,-1.33832412196593,0.0147667383797482,1
"1262","Gm25247",20.440513507658,33.317415016047,7.56361199926905,0.227016771728122,-2.13912920884622,0.016116196061967,1
"181","Mir340",8669.24189182623,12692.7452134348,4645.7385702177,0.366015270305779,-1.45002425529921,0.016725828166194,1
"446","Mir15a",726.345512888812,1031.64995781831,421.041067959311,0.408123961784198,-1.29292067825756,0.017559637303259,1
"1166","Mir29b-1",2453.20852264554,3505.4680227598,1400.94902253128,0.399646784234059,-1.32320261428036,0.0180015921268135,1
"86","Mir29b-2",2448.02869126234,3495.94876132665,1400.10862119803,0.400494605838191,-1.32014528342166,0.0182502453894582,1
"1007","Mir5123",27.8961013969387,44.0265841283478,11.7656186655296,0.267238962514787,-1.90379773180228,0.0184261872927674,1
"8","Mir133b",27431.3279709033,41113.690129802,13748.9658120046,0.334413324821905,-1.58029576160884,0.0188603401788867,1
"1151","Mir653",15.015234630774,24.9880612620352,5.0424079995127,0.201792685980553,-2.30905421028854,0.0194029622641419,1
"645","Mir133a-1",31187.8418769235,46824.0570820166,15551.6266718304,0.332128987554204,-1.59018445101195,0.0196768700677837,1
"923","Mir133a-2",31183.8519532195,46816.9176359417,15550.7862704972,0.332161685470696,-1.59004242546824,0.0196857788162192,1
"1482","Mir362",1153.56037981018,1623.03407435315,684.086685267223,0.421486336040026,-1.24644223298886,0.0223832283792695,1
"1032","Mir101a",49878.3167667127,75378.271658448,24378.3618749774,0.323413648769237,-1.62854752987856,0.0231230646403009,1
"706","Mir101b",48164.0802835629,72578.418889421,23749.7416777048,0.327228700226847,-1.611628806696,0.0239793923109563,1
"675","mmu-mir-145b",93.4569783754281,135.649475422477,51.2644813283791,0.377918758393404,-1.40385196483279,0.0249821362263249,1
"1478","Mir138-1",486.12322755458,680.627192470674,291.619262638485,0.428456673292625,-1.22277877243106,0.0251314638874001,1
"1480","Mir500",212.118066232868,299.856735144423,124.379397321313,0.414796076737804,-1.2695258461019,0.0257834477186373,1
"492","Mir30b",13386.6932025959,19381.2162779062,7392.17012728562,0.381408990090699,-1.39058924545166,0.0265557561527852,1
"922","Mir1a-1",286001.68285652,458435.731544015,113567.634169025,0.247728582993582,-2.01316775813974,0.0274435796492076,1
"646","Mir1b",286027.794096398,458476.188405106,113579.39978769,0.247732385367269,-2.01314561445532,0.0274473963898371,1
"821","Mir511",524.137509482023,730.603314994745,317.6717039693,0.434807367348977,-1.20155170938004,0.0274697795061707,1
"188","mmu-mir-6921",3.56972303743361,7.13944607486721,0,0,-Inf,0.0275192752525819,1
"7","Mir206",26688.8150439823,39162.241536005,14215.3885519596,0.362987101718634,-1.46200981007452,0.0288871508433553,1
"707","Gm24108",32.946439912003,15.468799828879,50.424079995127,3.25972800430124,1.70475158923649,0.0310588854904701,1
"676","Gm25509",12.2152186058588,20.2284305454571,4.20200666626059,0.207727764979981,-2.26723403459391,0.0320111942472009,1
