id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval
mmu-mir-7079,24,48,0,0,Inf,1.04E-07
mmu-mir-7688,14,28,0,0,Inf,2.13E-05
mmu-mir-7649,21,40,2,0.05,-4.321928095,2.98E-05
AC159305.1,19,36,2,0.055555556,-4.169925001,7.80E-05
Mir217,14,1,27,27,4.754887502,0.000198027
Mir224,189,292,86,0.294520548,-1.763559804,0.000208312
Mir495,148,228,68,0.298245614,-1.745427173,0.000393023
Mir494,472,695,249,0.358273381,-1.480867236,0.000792909
Gm25509,17,3,31,10.33333333,3.36923381,0.000802694
Gm24835,14,2,26,13,3.700439718,0.000986826
Mir92b,1351,1967,735,0.37366548,-1.420180803,0.001868515
Mir543,77.5,118,37,0.313559322,-1.673189684,0.002622547
mmu-mir-381,1668.5,2417,920,0.380637153,-1.393511707,0.002650164
Mir376b,260,373,147,0.394101877,-1.343359475,0.002977086
Mir337,667,947,387,0.408658923,-1.291030859,0.003377401
mmu-mir-7226,11.5,21,2,0.095238095,-3.392317423,0.00387185
Gm22195,35,14,56,4,2,0.004274339
Mir329,404.5,560,249,0.444642857,-1.169281085,0.007687898
Mir3072,24,39,9,0.230769231,-2.115477217,0.00790029
Mir5123,23.5,38,9,0.236842105,-2.078002512,0.009404389
Mir216a,7.5,1,14,14,3.807354922,0.010681137
Mir136,1660,2276,1044,0.458699473,-1.124378846,0.014612115
Mir455,11610.5,17034,6187,0.363214747,-1.461105316,0.015570044
Mir541,1639,2241,1037,0.462739848,-1.111726755,0.015625607
Gm24591,13,4,22,5.5,2.459431619,0.01592708
Mir410,509.5,687,332,0.483260553,-1.049126857,0.016238146
mmu-mir-133c,16.5,27,6,0.222222222,-2.169925001,0.017367962
Gm25315,84,49,119,2.428571429,1.280107919,0.017445106
Mir487b,51.5,75,28,0.373333333,-1.421463768,0.019657613
Mir433,228.5,308,149,0.483766234,-1.04761802,0.021206644
Gm24590,81,48,114,2.375,1.247927513,0.021380642
Gm26474,62,36,88,2.444444444,1.289506617,0.025737972
Gm24321,577,762,392,0.514435696,-0.958937343,0.027901778
Mir676,758.5,1003,514,0.512462612,-0.964481341,0.027952389
Mir370,225.5,300,151,0.503333333,-0.990413951,0.029418554
Gm25400,1188.5,1572,805,0.512086514,-0.965540529,0.031184521
Mir127,9557.5,13453,5662,0.420872668,-1.248544273,0.031433819
Mir29b-2,1326,1751,901,0.514563107,-0.958580073,0.033644805
Mir323,66,92,40,0.434782609,-1.201633861,0.0343961
Mir29b-1,1328,1751,905,0.516847516,-0.952189386,0.034843898
Mir499,36.5,53,20,0.377358491,-1.40599236,0.036496434
mmu-mir-7075,3.5,7,0,0,Inf,0.038235267
Mir125a,8893.5,12318,5469,0.443984413,-1.171419066,0.040610729
Mir694,7.5,13,2,0.153846154,-2.700439718,0.04097956
Mir338,475.5,617,334,0.541329011,-0.885422387,0.041886895
Mir328,528.5,685,372,0.543065693,-0.880801367,0.042990615
Mir326,246,321,171,0.53271028,-0.908576972,0.043537178
Mir96,2227.5,2929,1526,0.520996927,-0.940653231,0.045922612
Mir124a-1,9,15,3,0.2,-2.321928095,0.048682952
Mir124a-3,9,15,3,0.2,-2.321928095,0.048682952
Mir124a-2,9,15,3,0.2,-2.321928095,0.048682952
Mir5107,14,22,6,0.272727273,-1.874469118,0.049211729
