"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1216","mmu-mir-7649",30,60,0,0,-Inf,0.00731955393006524,1
"138","mmu-mir-7688",24.5,49,0,0,-Inf,0.0104364780478451,1
"675","Mir122a",42.5,83,2,0.0240963855421687,-5.37503943134692,0.0185870944071771,1
"321","Mir494",286,548,24,0.0437956204379562,-4.51306958223937,0.0187165551713309,1
"323","Mir1193",49,95,3,0.0315789473684211,-4.98489310760979,0.0223286872757915,1
"1215","AC159305.1",27,53,1,0.0188679245283019,-5.7279204545632,0.022698925409125,1
"1529","Mir224",180,341,19,0.0557184750733138,-4.16570041558059,0.0292631070273443,1
"329","Gm25252",49,94,4,0.0425531914893617,-4.55458885167764,0.0313824373645689,1
"1411","mmu-mir-7079",22,43,1,0.0232558139534884,-5.4262647547021,0.0320584779565688,1
"325","Mir543",103,195,11,0.0564102564102564,-4.14789869511231,0.0347139881627073,1
"1119","Mir701",20.5,40,1,0.025,-5.32192809488736,0.0360252889115311,1
"305","Mir433",196,368,24,0.0652173913043478,-3.93859945533586,0.0364896217350854,1
"347","Mir410",356.5,667,46,0.0689655172413793,-3.85798099512757,0.0381434255207639,1
"508","Mir33",158,296,20,0.0675675675675676,-3.88752527074159,0.0402422815888079,1
"417","Mir449a",18.5,36,1,0.0277777777777778,-5.16992500144231,0.0425796740140543,1
"1512","Mir503",154.5,288,21,0.0729166666666667,-3.77760757866355,0.0452752054657666,1
"902","Mir499",32,61,3,0.0491803278688525,-4.34577483684173,0.0463958610743883,1
"317","Mir1197",17,33,1,0.0303030303030303,-5.04439411935845,0.0487525957589205,1
"163","Mir3060",8.5,17,0,0,-Inf,0.049349654204691,1
"693","mmu-mir-6988",8.5,17,0,0,-Inf,0.049349654204691,1
