,id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
444,Gm23881,16.70788656,33.41577313,0,0,#NAME?,4.00E-05,0.062317692
1330,Gm22030,16.2802699,30.95103356,1.60950624,0.052001696,-4.265297512,0.000949535,0.739213035
1344,mmu-mir-7068,3.933582721,0.209136497,7.658028945,36.61737218,5.194456356,0.002665929,1
840,Gm24049,17833.9418,6295.350258,29372.53335,4.665750458,2.222109148,0.005542573,1
431,mmu-mir-7672,2.316883796,0,4.633767593,Inf,Inf,0.006211364,1
896,Gm23876,9.210980526,16.81245481,1.60950624,0.09573297,-3.384840315,0.00795578,1
1501,Mir504,5.78896745,2.233153879,9.344781022,4.184566549,2.065078191,0.01115394,1
253,Gm25040,9.534398806,17.04404051,2.024757106,0.118795605,-3.07344663,0.015570374,1
1010,Gm24112,9.286453747,1.673091976,16.89981552,10.10094828,3.336418835,0.015916179,1
1328,mmu-mir-6395,1.220003986,0,2.440007972,Inf,Inf,0.023444249,1
615,mmu-mir-6966,1.414755113,0,2.829510226,Inf,Inf,0.026868088,1
1363,Gm22151,2.162259424,4.324518849,0,0,#NAME?,0.030032957,1
1313,Gm22064,4.891133514,8.977513908,0.80475312,0.089640977,-3.479697813,0.031931884,1
1531,Mir384,3.763570421,1.232369786,6.294771057,5.107858963,2.35271869,0.032838954,1
1011,Gm25931,6.767626139,1.463955479,12.0712968,8.245672068,3.043637086,0.034676163,1
1009,Mir5123,12.54206957,3.719558553,21.3645806,5.74384844,2.522017682,0.034912069,1
210,Mir22,13654.81371,9128.264686,18181.36274,1.991765506,0.994047807,0.037448395,1
