"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1042","Mir1957",337.5,655,20,0.0305343511450382,-5.03342300153745,0.00135558714584057,1
"30","Mir1928",313,605,21,0.0347107438016529,-4.8484739093832,0.00190702505541241,1
"1076","Mir34a",1091,2027,155,0.0764676862358165,-3.70900596819266,0.0107797499827577,1
"589","Gm22745",10.5,21,0,0,-Inf,0.0108467107972124,1
"561","Gm22617",9.5,19,0,0,-Inf,0.0130493352632649,1
"1496","Mir542",196,363,29,0.0798898071625344,-3.64584474286818,0.0160110334944448,1
"408","Gm22118",201,30,372,12.4,3.63226821549951,0.0161403608776779,1
"209","Mir144",674,1226,122,0.099510603588907,-3.3290059261279,0.0195636429186272,1
"349","Gm24022",14,27,1,0.037037037037037,-4.75488750216347,0.0209846723160235,1
"441","Mir15a",429.5,779,80,0.102695763799743,-3.28355142317431,0.0215492768458793,1
"15","Gm24133",13.5,26,1,0.0384615384615385,-4.70043971814109,0.0226549977027914,1
"1465","Mir362",626,1127,125,0.110913930789707,-3.17248751551013,0.0251047679692088,1
"715","Gm23075",12.5,24,1,0.0416666666666667,-4.58496250072116,0.0265382135478082,1
"1519","Mir547",6,12,0,0,-Inf,0.0292733960069118,1
"332","Mir154",146,265,27,0.10188679245283,-3.29496104728709,0.0302923265296942,1
"1171","Mir335",488.5,871,106,0.121699196326062,-3.03860845403567,0.0312506411563192,1
"1090","Mir879",22,41,3,0.0731707317073171,-3.77258950389693,0.0312531026670564,1
"334","Mir377",84.5,154,15,0.0974025974025974,-3.35989594508638,0.0341017203284206,1
"1490","Mir20b",2745,4898,592,0.120865659452838,-3.04852369293503,0.0355140271042161,1
"467","Mir20a",6653,12015,1291,0.107449022055764,-3.21827574271004,0.0357947996059002,1
"1022","Mir32",571,1008,134,0.132936507936508,-2.91119073304214,0.0377601467084816,1
"506","Mir33",143.5,257,30,0.116731517509728,-3.09873395358536,0.0400018257689849,1
"743","Gm24114",5,10,0,0,-Inf,0.040119197264999,1
"492","Mir30b",8665,15616,1714,0.109759221311475,-3.18758594345039,0.0410957220579556,1
"264","Gm22904",128.5,27,230,8.51851851851852,3.09060254878091,0.0421075342195894,1
"1489","Mir19b-2",1848,3255,441,0.135483870967742,-2.88380698249548,0.0422656986746661,1
"466","Mir19a",1826.5,3213,440,0.136943666355431,-2.86834555194675,0.0431788862949123,1
"468","Mir19b-1",1873,3291,455,0.138255849285931,-2.85458757603829,0.0442326990690781,1
"464","Mir17",3685,6522,848,0.130021465808034,-2.94317827118527,0.0443182985146433,1
"831","Mir511",255,449,61,0.135857461024499,-2.87983429717826,0.0447967752473168,1
"1492","Mir106a",3430,6061,799,0.131826431281967,-2.92328843428048,0.0448350129798592,1
