column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	22199208	2	34	728766142	32.83	31	34	34	3	27	34	5071813	5424953	3939218	7728545	34679	22199208
2	22199208	2	34	732739918	33.01	31	34	34	3	27	34	4902638	4483341	7115141	5698088	0	22199208
3	22199208	2	34	733058754	33.02	33	34	34	1	32	34	6027167	6194065	5728463	4249513	0	22199208
4	22199208	2	37	808841989	36.44	37	37	37	0	37	37	5860429	5762736	5740722	4835321	0	22199208
5	22199208	2	37	807065354	36.36	37	37	37	0	37	37	7309161	4020585	5303126	5550937	15399	22199208
6	22199208	2	37	804998600	36.26	37	37	37	0	37	37	4877181	4695236	6060744	6560865	5182	22199208
7	22199208	2	37	805993323	36.31	37	37	37	0	37	37	4734421	3842846	7302788	6319153	0	22199208
8	22199208	2	37	806281694	36.32	37	37	37	0	37	37	5700518	2703694	7103262	6691734	0	22199208
9	22199208	2	39	847047530	38.16	39	39	39	0	39	39	5974422	4163941	5269873	6790972	0	22199208
10	22199208	2	39	847469913	38.18	39	39	39	0	39	39	5306446	3327817	7925307	5639638	0	22199208
11	22199208	2	39	846934922	38.15	39	39	39	0	39	39	6072169	4189147	7714627	4223265	0	22199208
12	22199208	2	39	847049372	38.16	39	39	39	0	39	39	7604372	3752334	6145005	4697497	0	22199208
13	22199208	2	39	846640136	38.14	39	39	39	0	39	39	5994949	5370497	5931700	4902062	0	22199208
14	22199208	2	41	881359887	39.70	40	41	41	1	39	41	6456790	4432408	5630509	5679501	0	22199208
15	22199208	2	41	882137804	39.74	40	41	41	1	39	41	6733422	4377797	7121928	3966061	0	22199208
16	22199208	2	41	881091020	39.69	40	41	41	1	39	41	6550277	4508407	6214140	4926384	0	22199208
17	22199208	2	41	882152230	39.74	40	41	41	1	39	41	6779627	5241846	5412994	4764741	0	22199208
18	22199208	2	41	882356422	39.75	40	41	41	1	39	41	6095307	4971645	6165971	4965584	701	22199208
19	22199208	2	41	882072720	39.73	40	41	41	1	39	41	5810679	4563691	5846314	5978524	0	22199208
20	22199208	2	41	880701158	39.67	40	41	41	1	39	41	6185992	3936431	6435744	5641041	0	22199208
21	22199208	2	41	880916904	39.68	40	41	41	1	39	41	5702460	4379335	6990088	5127325	0	22199208
22	22199208	2	41	881261799	39.70	40	41	41	1	39	41	6461259	3842218	6754553	5141174	4	22199208
23	22199208	2	41	881417961	39.70	40	41	41	1	39	41	7833063	4418442	6141669	3806011	23	22199208
24	22199208	2	41	881933622	39.73	40	41	41	1	39	41	6874357	4121944	7249385	3953522	0	22199208
25	22199208	2	41	881411808	39.70	40	41	41	1	39	41	7586467	4465513	6046626	4100219	383	22199208
26	22199208	2	41	880878248	39.68	40	41	41	1	39	41	6105532	5743677	5324982	5024949	68	22199208
27	22199208	2	41	880465887	39.66	40	41	41	1	39	41	5707562	6620335	5840128	4031118	65	22199208
28	22199208	2	41	880489221	39.66	40	41	41	1	39	41	4931897	6087161	7687501	3491899	750	22199208
29	22199208	2	41	878466516	39.57	40	41	41	1	39	41	5952255	4798311	7952457	3493384	2801	22199208
30	22199208	2	41	877520147	39.53	40	41	41	1	39	41	6978732	5269571	5964628	3983933	2344	22199208
31	22199208	2	41	877336562	39.52	40	41	41	1	39	41	7620527	4657736	5918048	4001890	1007	22199208
32	22199208	2	41	875674322	39.45	40	41	41	1	39	41	6626140	5139097	6897635	3534229	2107	22199208
33	22199208	2	41	875176155	39.42	40	41	41	1	39	41	7946320	4279455	6197936	3773978	1519	22199208
34	22199208	2	41	875086283	39.42	40	41	41	1	39	41	5907102	6260765	6045143	3985974	224	22199208
35	22199208	2	41	874149050	39.38	40	41	41	1	39	41	5777279	7134121	4898404	4388843	561	22199208
36	22199208	2	41	873304950	39.34	40	41	41	1	39	41	7180916	6899684	4292839	3824693	1076	22199208
37	22199208	2	41	872873980	39.32	40	41	41	1	39	41	6414541	6872152	4732700	4178792	1023	22199208
38	22199208	2	41	872272588	39.29	40	41	41	1	39	41	6847647	7056534	4433335	3859776	1916	22199208
39	22199208	2	41	871738815	39.27	39	41	41	2	36	41	5964421	6723580	5523773	3986480	954	22199208
40	22199208	2	41	869833387	39.18	39	41	41	2	36	41	5769081	5309097	5959520	5159154	2356	22199208
41	22199208	2	41	868739930	39.13	39	41	41	2	36	41	4705814	5576644	5483862	6431251	1637	22199208
42	22199208	2	41	867854986	39.09	39	41	41	2	36	41	5209347	6142618	4829289	6015280	2674	22199208
43	22199208	2	41	867602081	39.08	39	41	41	2	36	41	5876798	5728255	4384599	6207148	2408	22199208
44	22199208	2	41	866779245	39.05	39	41	41	2	36	41	6632884	4974677	5401719	5188581	1347	22199208
45	22199208	2	41	865144600	38.97	39	41	41	2	36	41	8245071	5376778	4498627	4076489	2243	22199208
46	22199208	2	41	863039543	38.88	39	41	41	2	36	41	7832977	5558987	4184143	4621497	1604	22199208
47	22199208	2	41	861400492	38.80	38	41	41	3	34	41	6263826	7167770	3712649	5052158	2805	22199208
48	22199208	2	41	859957672	38.74	38	40	41	3	34	41	5691932	6492861	3787732	6225057	1626	22199208
49	22199208	2	41	858485300	38.67	38	40	41	3	34	41	5145401	7871818	3859740	5321218	1031	22199208
50	22199208	2	41	856956865	38.60	38	40	41	3	34	41	5651641	7100617	4315247	5130825	878	22199208
